Data,CARGA_N,CARGA_NE,CARGA_S,CARGA_SE
2000-01-01,2243.5124999954164,4646.37083333125,4800.649999997917,19045.99583332917
2000-01-02,2259.80833333125,4895.72083333,4899.7999999975,19398.024999997502
2000-01-03,2407.4291666641666,5736.008333330833,6261.554166664167,23061.745833328332
2000-01-04,2404.2166666658336,5783.770833332083,6733.741666665417,24228.241666664166
2000-01-05,2439.649999996667,5753.120833329999,6961.1708333316665,24807.937499996668
2000-01-06,2426.68333333,5802.9416666658335,7110.362499997917,25334.64583333125
2000-01-07,2430.90833333,5658.541666664166,7105.354166665001,25410.19166666375
2000-01-08,2286.3499999966666,5394.3749999975,6307.487499998333,22866.1749999975
2000-01-09,2242.6666666641668,4931.133333331666,5523.620833332083,20849.18749999333
2000-01-10,2417.5958333304166,5643.170833330417,7111.320833332917,25441.554166664584
2000-01-11,2416.766666665,5724.179166664167,7435.058333331667,26375.78749999625
2000-01-12,2418.3583333325,5813.529166665833,7425.491666665833,26604.399999996665
2000-01-13,2428.52083333,5888.762499998334,7505.5749999975005,26731.566666664585
2000-01-14,2440.2041666641667,5929.916666664166,7532.274999997917,27027.00833332958
2000-01-15,2352.9083333304166,5504.18333333125,6435.912499998333,24565.79999999583
2000-01-16,2263.8374999979164,5123.449999997917,5621.174999997917,21929.79583333
2000-01-17,2433.9749999983333,5883.137499997083,7234.966666665,26523.670833330416
2000-01-18,2479.86666666375,6048.149999999583,7517.372916665833,27212.562499999167
2000-01-19,2439.2374999970834,6028.5666666649995,7391.795833330417,27165.695833330832
2000-01-20,2494.579166665417,6063.4499999975005,7365.112499998333,25289.262499996246
2000-01-21,2459.77083333125,5949.441666665417,7386.479166665001,25977.04166666375
2000-01-22,2393.1083333308334,5586.166666664583,6688.7166666645835,23572.44166666375
2000-01-23,2264.09166666375,5102.516666662917,5616.004166663751,21363.22083332875
2000-01-24,2434.7999999975,5804.141666664167,7137.695833331666,25673.2374999975
2000-01-25,2448.1041666645833,5964.80833333125,7416.2249999975,25874.23333333
2000-01-26,2463.066666665833,5995.966666665417,7229.73333333125,26728.612499996667
2000-01-27,2484.5833333308333,6066.924999998333,7112.174999999166,25540.091666662498
2000-01-28,2493.0666666645834,6029.79583333,7059.629166665417,25015.541666664998
2000-01-29,2402.2624999975,5651.620833329999,6214.312499998334,22674.66249999542
2000-01-30,2283.1041666641668,5258.687499998333,5442.133333330833,20515.087499997084
2000-01-31,2473.93333333,5984.233333330833,6939.687499998334,25555.349999997085
2000-02-01,2466.3999999979164,6221.799999997917,7101.741666665,26134.624999995835
2000-02-02,2474.0124999966665,6279.741666665833,7031.083333330833,26217.283333329997
2000-02-03,2489.079166664583,6279.624999998334,7394.049999996667,26423.979166661247
2000-02-04,2495.1749999966664,6181.77916666625,7227.83749999875,26983.541666662917
2000-02-05,2396.4749999979167,5719.78749999875,6193.499999997083,24358.116666662918
2000-02-06,2297.2333333304164,5320.595833329583,5421.05416666375,21316.43333333
2000-02-07,2430.354166665,5997.14999999625,7014.4208333316665,25526.545833329164
2000-02-08,2439.212499996667,6087.316666662916,7292.049999996249,26241.804166665836
2000-02-09,2437.78333333,6108.204166666251,7389.0708333312505,26460.020833330418
2000-02-10,2406.679166663333,6059.804166665417,7460.999999997916,26778.0666666625
2000-02-11,2433.8999999962502,5991.82083333,7537.104166664583,26994.562499997086
2000-02-12,2322.1708333304164,5600.579166664167,6704.83333333,24474.283333329167
2000-02-13,2237.537499997083,5096.724999997917,5621.8708333325,21933.03749999625
2000-02-14,2391.8291666641667,5634.054166665833,7096.3416666645835,26413.97916666375
2000-02-15,2388.362499997917,5781.933333332083,7205.7333333325005,27523.966666662498
2000-02-16,2423.449999998333,5801.845833332084,7057.27499999875,27404.224999997914
2000-02-17,2444.8999999983334,5841.058333331667,6999.037499997917,26313.35833333
2000-02-18,2414.95833333125,5837.416666664583,6977.516666665,25385.21666666375
2000-02-19,2378.374999995833,5438.391666664583,6249.699999998334,23121.129166664166
2000-02-20,2274.7124999970833,5014.762499999167,5356.966666664167,20677.774999997084
2000-02-21,2475.0374999979167,5675.658333331667,6987.708333330833,25306.754166665418
2000-02-22,2422.5583333329164,5774.008333332499,7280.162499997084,26409.383333330417
2000-02-23,2439.7874999983333,5760.191666665417,7296.4624999983325,27100.266666661668
2000-02-24,2445.15833333,5768.924999997917,7454.974999998333,27439.929166663333
2000-02-25,2467.2916666645833,5837.141666664583,7519.50833333,27427.145833330836
2000-02-26,2364.7666666641667,5513.149999997084,6667.820833332084,24846.508333328748
2000-02-27,2281.3583333308334,5069.687499997916,5624.7166666645835,22359.491666662503
2000-02-28,2457.3458333316667,5857.887499997916,7223.262499997916,27038.420833330834
2000-02-29,2466.12499999875,6073.991666665833,7347.804166665417,27465.016666662083
2000-03-01,2472.5458333320835,6052.1958333312505,7344.5916666645835,27163.641666663334
2000-03-02,2451.9291666654167,6018.391666665,7500.8624999970825,27254.633333330832
2000-03-03,2373.1583333295835,6013.8833333312505,7428.862499998333,27022.916666662084
2000-03-04,2349.9916666625,5552.491666662917,6430.974999998333,23923.383333330832
2000-03-05,2312.5833333304167,5107.4374999975,5449.624999998333,21465.733333329583
2000-03-06,2328.7083333304167,5180.61249999625,6348.7166666645835,22983.17499999917
2000-03-07,2286.579166665,5142.345833330416,6131.34999999875,22622.4958333275
2000-03-08,2385.08333332875,5654.462499997917,6789.962499997917,24392.804166663333
2000-03-09,2440.033333329167,6083.470833332084,7020.404166664167,25594.616666663747
2000-03-10,2446.86666666375,6072.0666666658335,7106.220833330416,26008.287499997085
